Item,Carton_Qty,Price,Colour,Size,Desc,Weight(Kg),EAN13,DUN14,Image_Path,,,,
2202WHRS,24,240.50,White     ,Small,Mens Food Coat One Pocket,0.5400,5036108106615,15036108600936,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2202WHR.jpg,,,,
2202WHRXL,24,240.50,White     ,XL,Mens Food Coat One Pocket,0.6200,5036108106646,15036108600943,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2202WHR.jpg,,,,
2202WHRXS,24,240.50,White     ,XSmall,Mens Food Coat One Pocket,0.5000,5036108152506,15036108600950,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2202WHR.jpg,,,,
2202WHRXXL,24,240.50,White     ,XXL,Mens Food Coat One Pocket,0.6200,5036108106653,15036108600967,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2202WHR.jpg,,,,
2202WHRXXXL,24,240.50,White     ,3 XL,Mens Food Coat One Pocket,0.7000,5036108106660,15036108600974,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2202WHR.jpg,,,,
2204WHRL,24,268.50,White     ,Large,Food Industry Bodywarmer,0.2200,5036108285976,15036108776129,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2204WHR.jpg,,,,
2204WHRM,24,268.50,White     ,Medium,Food Industry Bodywarmer,0.2000,5036108285983,15036108776136,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2204WHR.jpg,,,,
2204WHRS,24,268.50,White     ,Small,Food Industry Bodywarmer,0.2000,5036108285990,15036108776143,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2204WHR.jpg,,,,
2204WHRXL,24,268.50,White     ,XL,Food Industry Bodywarmer,0.2200,5036108286003,15036108776150,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2204WHR.jpg,,,,
2204WHRXXL,24,268.50,White     ,XXL,Food Industry Bodywarmer,0.2400,5036108286010,15036108776167,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2204WHR.jpg,,,,
2205WHRL,24,213.50,White     ,Large,Women's Food Coat One Pocket,0.4600,5036108106363,15036108601049,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2205WHR.jpg,,,,
2205WHRM,24,213.50,White     ,Medium,Women's Food Coat One Pocket,0.4200,5036108106356,15036108601056,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2205WHR.jpg,,,,
2205WHRS,24,213.50,White     ,Small,Women's Food Coat One Pocket,0.4000,5036108106349,15036108601063,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2205WHR.jpg,,,,
