Item,Carton_Qty,Price,Colour,Size,Desc,Weight(Kg),EAN13,DUN14,Image_Path,,,,
F300ORRM,18,565.50,Orange    ,Medium,Hi-Vis Mesh Lined Fleece,0.9400,5036108167944,15036108623195,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F300ORR.jpg,,,,
F300ORRS,18,565.50,Orange    ,Small,Hi-Vis Mesh Lined Fleece,0.9000,5036108167951,15036108623201,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F300ORR.jpg,,,,
F300ORRXL,18,565.50,Orange    ,XL,Hi-Vis Mesh Lined Fleece,1.0200,5036108167968,15036108623218,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F300ORR.jpg,,,,
F300ORRXS,18,565.50,Orange    ,XSmall,Hi-Vis Mesh Lined Fleece,0.8800,5036108296965,15036108786708,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F300ORR.jpg,,,,
F300ORRXXL,18,565.50,Orange    ,XXL,Hi-Vis Mesh Lined Fleece,0.9800,5036108167975,15036108623225,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F300ORR.jpg,,,,
F300ORRXXXL,18,565.50,Orange    ,3 XL,Hi-Vis Mesh Lined Fleece,1.0200,5036108167982,15036108623232,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F300ORR.jpg,,,,
F300YER4XL,18,565.50,Yellow    ,4XL,Hi-Vis Mesh Lined Fleece,1.0600,5036108143726,15036108623249,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F300YER.jpg,,,,
F300YER5XL,18,565.50,Yellow    ,5XL,Hi-Vis Mesh Lined Fleece,1.1400,5036108143733,15036108704535,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F300YER.jpg,,,,
F300YERL,18,565.50,Yellow    ,Large,Hi-Vis Mesh Lined Fleece,0.9800,5036108143658,15036108623256,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F300YER.jpg,,,,
F300YERM,18,565.50,Yellow    ,Medium,Hi-Vis Mesh Lined Fleece,0.9400,5036108143665,15036108623263,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F300YER.jpg,,,,
F300YERS,18,565.50,Yellow    ,Small,Hi-Vis Mesh Lined Fleece,0.9000,5036108143672,15036108623270,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F300YER.jpg,,,,
F300YERXL,18,565.50,Yellow    ,XL,Hi-Vis Mesh Lined Fleece,1.0200,5036108143689,15036108623287,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F300YER.jpg,,,,
F300YERXS,18,565.50,Yellow    ,XSmall,Hi-Vis Mesh Lined Fleece,0.9500,5036108143696,15036108674265,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F300YER.jpg,,,,
F300YERXXL,18,565.50,Yellow    ,XXL,Hi-Vis Mesh Lined Fleece,0.9800,5036108143702,15036108623294,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F300YER.jpg,,,,
F300YERXXXL,18,565.50,Yellow    ,3 XL,Hi-Vis Mesh Lined Fleece,1.0200,5036108143719,15036108623300,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F300YER.jpg,,,,
F301ONR4XL,18,574.00,OrNa     ,4XL,Hi-Vis 2-Tone Fleece,1.0100,5036108143900,15036108752086,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F301ONR.jpg,,,,
F301ONR5XL,18,574.00,OrNa     ,5XL,Hi-Vis 2-Tone Fleece,1.1400,5036108143917,15036108857651,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F301ONR.jpg,,,,
F301ONRL,18,574.00,OrNa     ,Large,Hi-Vis 2-Tone Fleece,1.0000,5036108143832,15036108623317,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F301ONR.jpg,,,,
F301ONRM,18,574.00,OrNa     ,Medium,Hi-Vis 2-Tone Fleece,0.9400,5036108143849,15036108623324,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F301ONR.jpg,,,,
F301ONRS,18,574.00,OrNa     ,Small,Hi-Vis 2-Tone Fleece,0.9200,5036108143856,15036108623331,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F301ONR.jpg,,,,
F301ONRXL,18,574.00,OrNa     ,XL,Hi-Vis 2-Tone Fleece,1.0400,5036108143863,15036108623348,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F301ONR.jpg,,,,
F301ONRXS,18,574.00,OrNa     ,XSmall,Hi-Vis 2-Tone Fleece,0.9100,5036108143870,15036108786715,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F301ONR.jpg,,,,
F301ONRXXL,18,574.00,OrNa     ,XXL,Hi-Vis 2-Tone Fleece,1.1000,5036108143887,15036108623355,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F301ONR.jpg,,,,
F301ONRXXXL,18,574.00,OrNa     ,3 XL,Hi-Vis 2-Tone Fleece,1.0800,5036108143894,15036108623362,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F301ONR.jpg,,,,
F301YNR4XL,18,574.00,YeNa     ,4XL,Hi-Vis 2-Tone Fleece,1.0100,5036108143818,15036108752062,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F301YNR.jpg,,,,
F301YNR5XL,18,574.00,YeNa     ,5XL,Hi-Vis 2-Tone Fleece,1.1400,5036108143825,15036108857668,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F301YNR.jpg,,,,
F301YNRL,18,574.00,YeNa     ,Large,Hi-Vis 2-Tone Fleece,1.0000,5036108143740,15036108623379,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F301YNR.jpg,,,,
F301YNRM,18,574.00,YeNa     ,Medium,Hi-Vis 2-Tone Fleece,0.9200,5036108143757,15036108623386,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F301YNR.jpg,,,,
F301YNRS,18,574.00,YeNa     ,Small,Hi-Vis 2-Tone Fleece,0.9400,5036108143764,15036108623393,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F301YNR.jpg,,,,
F301YNRXL,18,574.00,YeNa     ,XL,Hi-Vis 2-Tone Fleece,1.0400,5036108143771,15036108623409,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F301YNR.jpg,,,,
F301YNRXS,18,574.00,YeNa     ,XSmall,Hi-Vis 2-Tone Fleece,0.8600,5036108143788,15036108752079,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F301YNR.jpg,,,,
F301YNRXXL,18,574.00,YeNa     ,XXL,Hi-Vis 2-Tone Fleece,1.1000,5036108143795,15036108623416,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F301YNR.jpg,,,,
F301YNRXXXL,18,574.00,YeNa     ,3 XL,Hi-Vis 2-Tone Fleece,1.0800,5036108143801,15036108623423,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F301YNR.jpg,,,,
F330BKR4XL,18,547.00,Black     ,4XL,Laminated Fleece,0.8800,5036108103959,15036108623485,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F330BKR.jpg,,,,
F330BKRM,18,547.00,Black     ,Medium,Laminated Fleece,0.7800,5036108103904,15036108623508,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F330BKR.jpg,,,,
F330BKRS,18,547.00,Black     ,Small,Laminated Fleece,0.7000,5036108103898,15036108623515,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F330BKR.jpg,,,,
F330BKRXL,18,547.00,Black     ,XL,Laminated Fleece,0.8000,5036108103928,15036108623522,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F330BKR.jpg,,,,
F330BKRXXL,18,547.00,Black     ,XXL,Laminated Fleece,0.8400,5036108103935,15036108623539,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F330BKR.jpg,,,,
F330BKRXXXL,18,547.00,Black     ,3 XL,Laminated Fleece,0.9000,5036108103942,15036108623546,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F330BKR.jpg,,,,
F330NAR4XL,18,547.00,Navy      ,4XL,Laminated Fleece,0.8800,5036108046898,15036108623553,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F330NAR.jpg,,,,
F330NARL,18,547.00,Navy      ,Large,Laminated Fleece,0.8000,5036108046850,15036108623560,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F330NAR.jpg,,,,
F330NARM,18,547.00,Navy      ,Medium,Laminated Fleece,0.7800,5036108046843,15036108623577,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F330NAR.jpg,,,,
F330NARS,18,547.00,Navy      ,Small,Laminated Fleece,0.7000,5036108046836,15036108623584,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F330NAR.jpg,,,,
F330NARXL,18,547.00,Navy      ,XL,Laminated Fleece,0.8000,5036108046867,15036108623591,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F330NAR.jpg,,,,
F330NARXS,18,547.00,Navy      ,XSmall,Laminated Fleece,0.6500,5036108289332,15036108779526,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F330NAR.jpg,,,,
F330NARXXL,18,547.00,Navy      ,XXL,Laminated Fleece,0.8400,5036108046874,15036108623607,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F330NAR.jpg,,,,
F330NARXXXL,18,547.00,Navy      ,3 XL,Laminated Fleece,0.9000,5036108046881,15036108623614,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F330NAR.jpg,,,,
F374BGRL/XL,100,88.00,BottleG   ,LXL,MeshAir Iona Vest,0.1600,5036108317011,15036108805577,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F374BGR.jpg,,,,
F374BGRS/M,100,88.00,BottleG   ,SM,MeshAir Iona Vest,0.1600,5036108317028,15036108805584,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F374BGR.jpg,,,,
F374BGRXX/3X,100,88.00,BottleG   ,XX3X,MeshAir Iona Vest,0.1800,5036108317035,15036108805591,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F374BGR.jpg,,,,
F374RBRL/XL,100,88.00,Royal     ,LXL,MeshAir Iona Vest,0.1600,5036108317042,15036108805607,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F374RBR.jpg,,,,
F374RBRS/M,100,88.00,Royal     ,SM,MeshAir Iona Vest,0.1600,5036108317059,15036108805614,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F374RBR.jpg,,,,
F374RBRXX/3X,100,88.00,Royal     ,XX3X,MeshAir Iona Vest,0.1800,5036108317066,15036108805621,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F374RBR.jpg,,,,
F374RERL/XL,100,88.00,Red       ,LXL,MeshAir Iona Vest,0.1600,5036108317073,15036108805638,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F374RER.jpg,,,,
F374RERS/M,100,88.00,Red       ,SM,MeshAir Iona Vest,0.1600,5036108317080,15036108805645,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F374RER.jpg,,,,
F374RERXX/3X,100,88.00,Red       ,XX3X,MeshAir Iona Vest,0.1800,5036108317097,15036108805652,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F374RER.jpg,,,,
F400BGRL,18,372.50,BottleG   ,Large,Argyll Heavy Fleece,0.8400,5036108145959,15036108623676,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400BGR.jpg,,,,
F400BGRM,18,372.50,BottleG   ,Medium,Argyll Heavy Fleece,0.7800,5036108145966,15036108623683,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400BGR.jpg,,,,
F400BGRS,18,372.50,BottleG   ,Small,Argyll Heavy Fleece,0.7800,5036108145973,15036108623690,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400BGR.jpg,,,,
F400BGRXL,18,372.50,BottleG   ,XL,Argyll Heavy Fleece,0.8600,5036108145980,15036108623706,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400BGR.jpg,,,,
F400BGRXXL,18,372.50,BottleG   ,XXL,Argyll Heavy Fleece,0.8700,5036108145997,15036108623720,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400BGR.jpg,,,,
F400BKR4XL,18,372.50,Black     ,4XL,Argyll Heavy Fleece,0.9400,5036108045570,15036108623737,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400BKR.jpg,,,,
F400BKR5XL,18,372.50,Black     ,5XL,Argyll Heavy Fleece,1.0000,5036108045594,15036108745415,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400BKR.jpg,,,,
F400BKR6XL,18,372.50,Black     ,6XL,Argyll Heavy Fleece,1.0600,,,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400BKR.jpg,,,,
F400BKR7XL,18,372.50,Black     ,7XL,Argyll Heavy Fleece,1.1200,,,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400BKR.jpg,,,,
F400BKR8XL,18,372.50,Black     ,8XL,Argyll Heavy Fleece,1.1800,,,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400BKR.jpg,,,,
F400BKRL,18,372.50,Black     ,Large,Argyll Heavy Fleece,0.8400,5036108045495,15036108623744,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400BKR.jpg,,,,
F400BKRM,18,372.50,Black     ,Medium,Argyll Heavy Fleece,0.7800,5036108045501,15036108623751,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400BKR.jpg,,,,
F400BKRS,18,372.50,Black     ,Small,Argyll Heavy Fleece,0.7200,5036108045518,15036108623768,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400BKR.jpg,,,,
F400BKRXL,18,372.50,Black     ,XL,Argyll Heavy Fleece,0.8600,5036108045525,15036108623775,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400BKR.jpg,,,,
F400BKRXS,18,372.50,Black     ,XSmall,Argyll Heavy Fleece,0.7000,5036108045532,15036108623782,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400BKR.jpg,,,,
F400BKRXXL,18,372.50,Black     ,XXL,Argyll Heavy Fleece,0.8700,5036108045549,15036108623799,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400BKR.jpg,,,,
F400BKRXXXL,18,372.50,Black     ,3 XL,Argyll Heavy Fleece,0.8800,5036108045556,15036108623805,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400BKR.jpg,,,,
F400NAR4XL,18,372.50,Navy      ,4XL,Argyll Heavy Fleece,0.9400,5036108045563,15036108623874,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400NAR.jpg,,,,
F400NAR5XL,18,372.50,Navy      ,5XL,Argyll Heavy Fleece,1.0000,5036108045587,15036108704542,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400NAR.jpg,,,,
F400NAR6XL,18,372.50,Navy      ,6XL,Argyll Heavy Fleece,1.0600,5036108217359,15036108704559,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400NAR.jpg,,,,
F400NAR7XL,18,372.50,Navy      ,7XL,Argyll Heavy Fleece,1.1200,5036108217366,15036108704566,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400NAR.jpg,,,,
F400NAR8XL,18,372.50,Navy      ,8XL,Argyll Heavy Fleece,1.1800,,,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400NAR.jpg,,,,
F400NARL,18,372.50,Navy      ,Large,Argyll Heavy Fleece,0.8400,5036108045426,15036108623881,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400NAR.jpg,,,,
F400NARM,18,372.50,Navy      ,Medium,Argyll Heavy Fleece,0.8000,5036108045433,15036108623898,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400NAR.jpg,,,,
F400NARS,18,372.50,Navy      ,Small,Argyll Heavy Fleece,0.7900,5036108045440,15036108623904,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400NAR.jpg,,,,
F400NARXL,18,372.50,Navy      ,XL,Argyll Heavy Fleece,0.8600,5036108045457,15036108623911,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400NAR.jpg,,,,
F400NARXS,18,372.50,Navy      ,XSmall,Argyll Heavy Fleece,0.7000,5036108045464,15036108623928,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400NAR.jpg,,,,
F400NARXXL,18,372.50,Navy      ,XXL,Argyll Heavy Fleece,0.8700,5036108045471,15036108623935,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400NAR.jpg,,,,
F400NARXXS,18,372.50,Navy      ,XXSmall,Argyll Heavy Fleece,0.6900,5036108263950,15036108753182,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400NAR.jpg,,,,
F400NARXXXL,18,372.50,Navy      ,3 XL,Argyll Heavy Fleece,0.8800,5036108045488,15036108623942,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400NAR.jpg,,,,
F400RBRL,18,372.50,Royal     ,Large,Argyll Heavy Fleece,0.8400,5036108190140,15036108676863,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400RBR.jpg,,,,
F400RBRM,18,372.50,Royal     ,Medium,Argyll Heavy Fleece,0.7800,5036108190157,15036108676870,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400RBR.jpg,,,,
F400RBRS,18,372.50,Royal     ,Small,Argyll Heavy Fleece,0.7200,5036108190164,15036108676887,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400RBR.jpg,,,,
F400RBRXL,18,372.50,Royal     ,XL,Argyll Heavy Fleece,0.8600,5036108190171,15036108676894,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400RBR.jpg,,,,
F400RBRXS,18,372.50,Royal     ,XSmall,Argyll Heavy Fleece,0.7000,5036108256495,15036108745422,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400RBR.jpg,,,,
F400RBRXXL,18,372.50,Royal     ,XXL,Argyll Heavy Fleece,0.8700,5036108190188,15036108676900,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400RBR.jpg,,,,
F400RERL,18,372.50,Red       ,Large,Argyll Heavy Fleece,0.8400,5036108145843,15036108623966,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400RER.jpg,,,,
F400RERM,18,372.50,Red       ,Medium,Argyll Heavy Fleece,0.7800,5036108145850,15036108623973,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400RER.jpg,,,,
F400RERS,18,372.50,Red       ,Small,Argyll Heavy Fleece,0.7200,5036108145867,15036108623980,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400RER.jpg,,,,
F400RERXL,18,372.50,Red       ,XL,Argyll Heavy Fleece,0.8600,5036108145874,15036108623997,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400RER.jpg,,,,
F400RERXS,18,372.50,Red       ,XSmall,Argyll Heavy Fleece,0.7000,5036108158232,15036108624000,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400RER.jpg,,,,
F400RERXXL,18,372.50,Red       ,XXL,Argyll Heavy Fleece,0.8700,5036108145898,15036108624017,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400RER.jpg,,,,
F400SGRL,18,372.50,Slate Grey,Large,Argyll Heavy Fleece,0.8400,5036108216369,15036108703088,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400SGR.jpg,,,,
F400SGRM,18,372.50,Slate Grey,Medium,Argyll Heavy Fleece,0.7800,5036108216376,15036108703095,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400SGR.jpg,,,,
F400SGRS,18,372.50,Slate Grey,Small,Argyll Heavy Fleece,0.7200,5036108216383,15036108703101,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400SGR.jpg,,,,
F400SGRXL,18,372.50,Slate Grey,XL,Argyll Heavy Fleece,0.8600,5036108216390,15036108703118,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400SGR.jpg,,,,
F400SGRXS,18,372.50,Slate Grey,XSmall,Argyll Heavy Fleece,0.7000,5036108243532,15036108731692,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400SGR.jpg,,,,
F400SGRXXL,18,372.50,Slate Grey,XXL,Argyll Heavy Fleece,0.8700,5036108216406,15036108703125,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400SGR.jpg,,,,
F400SGRXXXL,18,372.50,Slate Grey,3 XL,Argyll Heavy Fleece,0.8800,5036108216413,15036108703132,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F400SGR.jpg,,,,
F401BKRL,18,472.50,Black     ,Large,City Fleece,0.9000,5036108161096,15036108624031,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F401BKR.jpg,,,,
F401BKRM,18,472.50,Black     ,Medium,City Fleece,0.8600,5036108161102,15036108624048,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F401BKR.jpg,,,,
F401BKRS,18,472.50,Black     ,Small,City Fleece,0.8000,5036108161119,15036108624055,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F401BKR.jpg,,,,
F401BKRXL,18,472.50,Black     ,XL,City Fleece,0.9200,5036108161126,15036108624062,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F401BKR.jpg,,,,
F401BKRXS,18,472.50,Black     ,XSmall,City Fleece,0.8000,5036108161133,15036108745439,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F401BKR.jpg,,,,
F401BKRXXL,18,472.50,Black     ,XXL,City Fleece,0.9400,5036108161140,15036108624079,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F401BKR.jpg,,,,
F401BKRXXXL,18,472.50,Black     ,3 XL,City Fleece,0.9100,5036108161157,15036108745446,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F401BKR.jpg,,,,
F401GRRL,18,472.50,Grey      ,Large,City Fleece,0.9000,5036108190201,15036108676924,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F401GRR.jpg,,,,
F401GRRM,18,472.50,Grey      ,Medium,City Fleece,0.8600,5036108190218,15036108676931,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F401GRR.jpg,,,,
F401GRRS,18,472.50,Grey      ,Small,City Fleece,0.8000,5036108190225,15036108676948,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F401GRR.jpg,,,,
F401GRRXL,18,472.50,Grey      ,XL,City Fleece,0.9200,5036108190232,15036108676955,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F401GRR.jpg,,,,
F401GRRXXL,18,472.50,Grey      ,XXL,City Fleece,0.9400,5036108190256,15036108676962,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F401GRR.jpg,,,,
F401NARL,18,472.50,Navy      ,Large,City Fleece,0.9000,5036108161027,15036108624086,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F401NAR.jpg,,,,
F401NARM,18,472.50,Navy      ,Medium,City Fleece,0.8600,5036108161034,15036108624093,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F401NAR.jpg,,,,
F401NARS,18,472.50,Navy      ,Small,City Fleece,0.8000,5036108161041,15036108624109,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F401NAR.jpg,,,,
F401NARXL,18,472.50,Navy      ,XL,City Fleece,0.9200,5036108161058,15036108624116,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F401NAR.jpg,,,,
F401NARXS,18,472.50,Navy      ,XSmall,City Fleece,0.8000,5036108161065,15036108745453,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F401NAR.jpg,,,,
F401NARXXL,18,472.50,Navy      ,XXL,City Fleece,0.9400,5036108161072,15036108624123,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F401NAR.jpg,,,,
F401NARXXXL,18,472.50,Navy      ,3 XL,City Fleece,0.9100,5036108161089,15036108745460,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F401NAR.jpg,,,,
F401RERS,18,472.50,Red       ,Small,City Fleece,0.8000,5036108161188,15036108624154,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F401RER.jpg,,,,
F414NARL,18,472.50,Navy      ,Large,Iona Bodywarmer,0.8000,5036108170975,15036108624185,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F414NAR.jpg,,,,
F414NARM,18,472.50,Navy      ,Medium,Iona Bodywarmer,0.7800,5036108170982,15036108624192,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F414NAR.jpg,,,,
F414NARS,18,472.50,Navy      ,Small,Iona Bodywarmer,0.7400,5036108170999,15036108624208,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F414NAR.jpg,,,,
F414NARXL,18,472.50,Navy      ,XL,Iona Bodywarmer,0.8400,5036108171002,15036108624215,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F414NAR.jpg,,,,
F414NARXXL,18,472.50,Navy      ,XXL,Iona Bodywarmer,0.8800,5036108171026,15036108624222,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F414NAR.jpg,,,,
F414NARXXXL,18,472.50,Navy      ,3 XL,Iona Bodywarmer,0.9200,5036108171033,15036108819673,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F414NAR.jpg,,,,
F433NAR4XL,12,475.00,Navy      ,4XL,Iona Fleece,1.2600,5036108362028,15036108851048,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F433NAR.jpg,,,,
F433NARL,12,475.00,Navy      ,Large,Iona Fleece,1.1200,5036108154555,15036108624284,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F433NAR.jpg,,,,
F433NARM,12,475.00,Navy      ,Medium,Iona Fleece,1.0400,5036108154548,15036108624291,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F433NAR.jpg,,,,
F433NARS,12,475.00,Navy      ,Small,Iona Fleece,1.0200,5036108154531,15036108624307,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F433NAR.jpg,,,,
F433NARXL,12,475.00,Navy      ,XL,Iona Fleece,1.1800,5036108154562,15036108624314,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F433NAR.jpg,,,,
F433NARXS,12,475.00,Navy      ,XSmall,Iona Fleece,1.0900,5036108256754,15036108745767,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F433NAR.jpg,,,,
F433NARXXL,12,475.00,Navy      ,XXL,Iona Fleece,1.2200,5036108154579,15036108624321,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F433NAR.jpg,,,,
F433NARXXXL,12,475.00,Navy      ,3 XL,Iona Fleece,1.2400,5036108154586,15036108674432,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F433NAR.jpg,,,,
F438NAR4XL,24,,Navy      ,4XL,Classic Iona Rain Coat,0.8600,,,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F438NAR.jpg,,,,
F438NARL,24,320.00,Navy      ,Large,Classic Iona Rain Coat,0.7800,5036108317103,15036108805669,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F438NAR.jpg,,,,
F438NARM,24,320.00,Navy      ,Medium,Classic Iona Rain Coat,0.7600,5036108317110,15036108805676,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F438NAR.jpg,,,,
F438NARS,24,320.00,Navy      ,Small,Classic Iona Rain Coat,0.7400,5036108317127,15036108805683,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F438NAR.jpg,,,,
F438NARXL,24,320.00,Navy      ,XL,Classic Iona Rain Coat,0.8000,5036108317134,15036108805690,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/F438NAR.jpg,,,,
